frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,17.5,352,370,
15,0.5,15.2,367,386,
30,1.0,13.9,401,421,
45,1.5,16.5,356,371,
60,2.0,14.9,109,129,
75,2.5,21.7,191,211,
90,3.0,32.3,262,273,
105,3.5,35.0,454,464,
120,4.0,34.8,610,618,
135,4.5,39.4,416,423,
150,5.0,44.8,393,404,
165,5.5,56.6,543,558,
180,6.0,78.9,430,440,
195,6.5,84.3,302,314,
210,7.0,84.4,208,217,
225,7.5,84.3,188,196,
240,8.0,86.1,287,296,
255,8.5,84.3,303,314,
270,9.0,83.1,784,798,
285,9.5,83.8,734,752,
300,10.0,86.1,726,743,
315,10.5,82.8,607,622,
330,11.0,82.9,573,589,
345,11.5,74.0,523,539,
360,12.0,63.7,477,502,
375,12.5,67.0,459,480,
390,13.0,74.6,274,286,
405,13.5,83.2,204,218,
420,14.0,85.2,194,218,
435,14.5,84.1,227,251,
450,15.0,78.7,233,255,
465,15.5,71.6,408,431,
