frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,62.9,11,36,
15,0.5,62.3,7,61,
30,1.0,83.0,0,37,
45,1.5,62.9,16,40,
60,2.0,62.9,13,51,
75,2.5,62.9,12,40,
90,3.0,62.9,8,41,
105,3.5,64.2,5,30,
120,4.0,63.0,8,24,
135,4.5,62.9,12,42,
150,5.0,92.1,7,47,
165,5.5,63.8,9,53,
180,6.0,71.3,15,42,
195,6.5,63.7,7,56,
210,7.0,84.3,10,40,
225,7.5,84.2,12,38,
240,8.0,84.2,12,40,
255,8.5,82.9,12,52,
270,9.0,80.2,8,36,
285,9.5,94.0,8,42,
300,10.0,84.5,7,50,
315,10.5,63.8,11,48,
330,11.0,57.8,8,40,
345,11.5,63.2,6,39,
360,12.0,43.1,10,31,
375,12.5,37.0,11,43,
390,13.0,98.6,5,29,
405,13.5,35.7,12,33,
420,14.0,33.2,10,39,
435,14.5,30.3,11,54,
450,15.0,80.9,10,42,
465,15.5,21.3,9,45,
480,16.0,21.6,6,35,
495,16.5,38.2,5,27,
