frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,62.4,89,128,
15,0.5,56.2,89,112,
30,1.0,53.0,109,132,
45,1.5,57.1,94,121,
60,2.0,61.0,94,128,
75,2.5,67.7,82,112,
90,3.0,69.5,57,80,
105,3.5,69.1,67,108,
120,4.0,64.5,79,106,
135,4.5,54.1,98,126,
150,5.0,46.6,146,177,
165,5.5,51.0,144,168,
180,6.0,57.9,127,155,
195,6.5,63.9,139,162,
210,7.0,68.6,114,139,
225,7.5,57.4,152,184,
240,8.0,35.9,94,123,
255,8.5,24.8,105,130,
270,9.0,30.6,123,151,
285,9.5,41.1,135,159,
300,10.0,52.3,144,173,
315,10.5,66.5,116,148,
330,11.0,77.5,140,170,
345,11.5,81.7,147,173,
360,12.0,82.9,136,167,
375,12.5,79.0,138,175,
390,13.0,61.7,125,150,
405,13.5,48.9,127,147,
420,14.0,43.5,141,172,
435,14.5,36.2,147,177,
450,15.0,33.1,158,195,
465,15.5,30.3,154,178,
480,16.0,38.3,104,141,
495,16.5,48.3,90,118,
