frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,50.0,557,573,
15,0.5,50.0,579,588,
30,1.0,50.0,589,601,
45,1.5,48.5,636,650,
60,2.0,40.7,615,631,
75,2.5,35.1,592,603,
90,3.0,30.2,559,570,
105,3.5,23.9,375,394,
120,4.0,29.4,611,626,
135,4.5,32.2,690,702,
150,5.0,32.0,614,623,
165,5.5,31.1,674,685,
180,6.0,35.9,590,605,
195,6.5,35.4,657,672,
210,7.0,38.6,618,628,
225,7.5,40.9,709,726,
240,8.0,45.0,547,566,
255,8.5,47.5,502,521,
270,9.0,50.0,457,475,
285,9.5,50.2,539,551,
300,10.0,42.5,558,575,
315,10.5,25.5,388,400,
330,11.0,16.2,116,131,
345,11.5,15.0,84,105,
360,12.0,15.1,78,111,
375,12.5,17.9,116,133,
390,13.0,24.3,122,146,
405,13.5,32.6,217,233,
420,14.0,42.0,306,338,
435,14.5,46.8,438,474,
450,15.0,53.2,406,437,
465,15.5,56.1,576,591,
