frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,73.4,14,34,
15,0.5,81.3,14,46,
30,1.0,80.3,8,38,
45,1.5,65.7,30,62,
60,2.0,61.2,32,65,
75,2.5,61.9,33,59,
90,3.0,68.1,23,50,
105,3.5,76.0,32,52,
120,4.0,81.9,38,65,
135,4.5,75.4,31,64,
150,5.0,68.5,26,55,
165,5.5,61.4,40,69,
180,6.0,52.9,46,75,
195,6.5,35.0,46,85,
210,7.0,19.0,41,77,
225,7.5,15.2,37,71,
240,8.0,15.5,34,59,
255,8.5,18.1,41,81,
270,9.0,35.4,40,62,
285,9.5,46.0,34,75,
300,10.0,50.5,49,74,
315,10.5,58.6,48,76,
330,11.0,61.1,32,51,
345,11.5,60.9,35,61,
360,12.0,58.5,34,54,
375,12.5,57.5,35,46,
390,13.0,62.1,36,53,
405,13.5,70.9,35,62,
420,14.0,75.0,32,58,
435,14.5,80.0,33,65,
450,15.0,82.7,44,66,
465,15.5,84.4,48,75,
480,16.0,85.0,46,80,
495,16.5,84.8,39,66,
510,17.0,79.3,44,79,
525,17.5,68.7,43,76,
540,18.0,55.5,37,70,
555,18.5,38.0,46,74,
570,19.0,24.4,21,57,
585,19.5,16.4,16,46,
600,20.0,14.8,14,40,
615,20.5,16.3,16,40,
630,21.0,21.0,19,40,
