frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,50.8,852,871,
15,0.5,49.9,786,799,
30,1.0,50.0,809,826,
45,1.5,50.0,787,809,
60,2.0,50.9,798,811,
75,2.5,49.3,830,848,
90,3.0,49.2,570,588,
105,3.5,49.1,579,600,
120,4.0,43.6,821,835,
135,4.5,37.9,751,770,
150,5.0,31.9,924,938,
165,5.5,23.7,1029,1046,
180,6.0,16.4,946,957,
195,6.5,16.1,852,863,
210,7.0,17.8,946,959,
225,7.5,38.5,944,965,
240,8.0,53.9,822,837,
255,8.5,66.4,715,741,
270,9.0,77.0,646,665,
285,9.5,83.7,614,630,
300,10.0,81.2,621,634,
315,10.5,79.9,661,676,
330,11.0,75.4,588,607,
345,11.5,62.5,835,853,
360,12.0,48.9,1022,1036,
375,12.5,35.5,759,772,
390,13.0,25.6,708,724,
405,13.5,27.4,699,722,
420,14.0,33.3,732,748,
435,14.5,39.3,692,703,
450,15.0,50.3,788,802,
465,15.5,53.0,860,874,
480,16.0,54.4,992,1003,
495,16.5,56.8,999,1008,
510,17.0,58.0,1005,1015,
525,17.5,58.6,1014,1025,
540,18.0,60.6,1028,1046,
555,18.5,59.9,988,997,
570,19.0,60.1,1010,1019,
585,19.5,61.5,926,939,
600,20.0,58.6,843,854,
615,20.5,53.9,846,858,
630,21.0,49.0,885,904,
645,21.5,43.2,903,917,
660,22.0,39.3,927,942,
675,22.5,37.0,879,895,
690,23.0,35.3,914,931,
705,23.5,35.6,854,866,
720,24.0,32.6,783,802,
735,24.5,29.2,853,868,
750,25.0,29.6,856,864,
765,25.5,35.0,822,841,
780,26.0,41.7,794,806,
795,26.5,48.4,827,835,
810,27.0,56.4,921,939,
825,27.5,62.2,811,817,
840,28.0,63.4,909,927,
855,28.5,62.6,863,879,
