frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,15.8,314,321,
15,0.5,16.0,215,225,
30,1.0,15.8,218,236,
45,1.5,15.8,218,232,
60,2.0,15.8,230,239,
75,2.5,14.8,221,225,
90,3.0,16.3,210,226,
105,3.5,18.0,203,212,
120,4.0,21.1,176,185,
135,4.5,25.7,303,309,
150,5.0,31.2,348,354,
165,5.5,33.6,298,301,
180,6.0,35.3,311,321,
195,6.5,37.8,291,295,
210,7.0,39.5,381,395,
225,7.5,47.6,516,527,
240,8.0,58.7,886,904,
255,8.5,63.4,957,972,
270,9.0,64.5,883,900,
285,9.5,69.2,796,819,
300,10.0,67.9,875,893,
315,10.5,64.3,873,887,
330,11.0,60.9,825,839,
345,11.5,59.5,839,856,
360,12.0,57.1,817,832,
375,12.5,52.5,799,814,
390,13.0,48.0,895,915,
405,13.5,44.0,929,942,
420,14.0,47.4,813,829,
435,14.5,55.0,671,686,
450,15.0,59.1,668,691,
465,15.5,62.2,678,693,
480,16.0,61.9,635,653,
495,16.5,62.6,616,631,
510,17.0,74.5,311,335,
525,17.5,82.6,132,148,
540,18.0,80.5,138,154,
