frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,89.6,718,741,
15,0.5,85.7,730,747,
30,1.0,85.3,649,666,
45,1.5,77.4,529,550,
60,2.0,59.2,652,663,
75,2.5,47.3,691,709,
90,3.0,38.4,671,682,
105,3.5,32.5,648,659,
120,4.0,32.0,623,638,
135,4.5,31.1,631,654,
150,5.0,26.5,664,671,
165,5.5,20.0,736,751,
180,6.0,16.2,749,761,
195,6.5,14.6,817,824,
210,7.0,18.2,695,711,
225,7.5,27.3,684,694,
240,8.0,33.7,602,613,
255,8.5,37.6,584,596,
270,9.0,39.7,430,478,
285,9.5,36.3,530,554,
300,10.0,35.5,474,499,
315,10.5,37.7,403,435,
330,11.0,41.6,374,415,
345,11.5,45.5,283,353,
360,12.0,46.0,274,305,
375,12.5,49.2,305,318,
390,13.0,51.2,265,285,
405,13.5,50.3,322,346,
420,14.0,50.1,313,335,
435,14.5,50.1,358,376,
450,15.0,49.3,365,377,
465,15.5,46.0,297,325,
480,16.0,38.3,221,257,
495,16.5,33.8,143,149,
510,17.0,31.4,332,342,
525,17.5,28.6,425,440,
