frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,54.5,354,371,
15,0.5,54.3,327,343,
30,1.0,57.9,302,313,
45,1.5,66.6,206,220,
60,2.0,79.0,191,215,
75,2.5,84.1,250,264,
90,3.0,84.4,295,318,
105,3.5,84.3,257,275,
120,4.0,84.0,311,325,
135,4.5,84.4,282,300,
150,5.0,84.2,286,300,
165,5.5,84.1,295,315,
180,6.0,83.9,357,382,
195,6.5,83.1,312,330,
210,7.0,72.3,464,479,
225,7.5,59.1,668,680,
240,8.0,57.5,701,708,
255,8.5,60.6,708,726,
270,9.0,64.5,594,612,
285,9.5,69.1,550,571,
300,10.0,69.8,449,462,
315,10.5,70.7,414,432,
330,11.0,61.1,475,498,
345,11.5,35.7,602,614,
360,12.0,18.5,710,720,
375,12.5,15.5,663,674,
390,13.0,15.9,714,726,
405,13.5,20.4,675,693,
420,14.0,38.4,652,665,
435,14.5,56.2,464,480,
450,15.0,68.4,537,555,
465,15.5,72.5,377,392,
480,16.0,75.0,393,407,
495,16.5,78.8,340,366,
