frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,25.0,288,293,
15,0.5,24.5,271,276,
30,1.0,22.9,414,424,
45,1.5,16.4,356,364,
60,2.0,16.8,281,292,
75,2.5,15.9,320,325,
90,3.0,15.8,313,317,
105,3.5,15.8,323,329,
120,4.0,15.8,298,310,
135,4.5,15.9,336,343,
150,5.0,15.8,310,319,
165,5.5,15.9,312,322,
180,6.0,15.8,375,382,
195,6.5,15.8,410,422,
210,7.0,15.8,412,419,
225,7.5,15.8,408,413,
240,8.0,16.0,460,472,
255,8.5,31.1,556,564,
270,9.0,47.2,689,697,
285,9.5,52.2,772,781,
300,10.0,53.3,777,786,
315,10.5,54.4,828,840,
330,11.0,58.4,880,888,
345,11.5,60.8,767,771,
360,12.0,57.7,678,690,
375,12.5,55.0,743,752,
390,13.0,53.3,797,802,
405,13.5,52.6,746,750,
420,14.0,52.1,617,628,
435,14.5,50.0,267,286,
450,15.0,49.2,297,306,
465,15.5,49.5,270,287,
480,16.0,48.6,328,340,
495,16.5,49.0,327,338,
510,17.0,50.2,261,312,
525,17.5,48.9,219,264,
540,18.0,43.3,290,337,
555,18.5,36.8,328,374,
570,19.0,35.1,395,411,
