frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,26.9,374,388,
15,0.5,24.4,404,418,
30,1.0,24.7,443,459,
45,1.5,25.3,425,436,
60,2.0,25.0,323,335,
75,2.5,25.3,296,313,
90,3.0,25.0,306,315,
105,3.5,25.0,310,325,
120,4.0,24.9,262,269,
135,4.5,23.1,252,267,
150,5.0,18.1,226,242,
165,5.5,15.8,280,301,
180,6.0,16.0,285,299,
195,6.5,23.8,266,274,
210,7.0,37.1,345,353,
225,7.5,42.7,425,438,
240,8.0,41.7,471,483,
255,8.5,39.9,518,537,
270,9.0,38.6,508,516,
285,9.5,42.2,523,534,
300,10.0,49.6,535,550,
315,10.5,54.8,660,669,
330,11.0,55.8,478,493,
345,11.5,55.5,443,459,
360,12.0,54.4,462,484,
375,12.5,52.7,499,516,
390,13.0,51.2,399,412,
405,13.5,50.5,369,389,
420,14.0,49.7,344,356,
435,14.5,42.7,243,258,
450,15.0,31.5,333,361,
465,15.5,27.8,189,204,
