frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,52.5,651,669,
15,0.5,51.4,675,699,
30,1.0,48.2,699,714,
45,1.5,42.2,550,564,
60,2.0,37.5,797,816,
75,2.5,35.2,838,855,
90,3.0,38.8,853,865,
105,3.5,45.0,783,798,
120,4.0,52.1,470,488,
135,4.5,58.6,598,618,
150,5.0,67.2,573,598,
165,5.5,75.6,595,611,
180,6.0,77.7,588,604,
195,6.5,70.2,526,542,
210,7.0,58.7,512,517,
225,7.5,54.2,441,456,
240,8.0,53.8,514,526,
255,8.5,56.7,696,708,
270,9.0,59.7,752,766,
285,9.5,57.1,709,720,
300,10.0,56.3,583,598,
