frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,,,
15,0.5,,,
30,1.0,,,
45,1.5,,,
60,2.0,,,
75,2.5,,,
90,3.0,,,
105,3.5,,,
120,4.0,,,
135,4.5,,,
150,5.0,,,
165,5.5,,,
180,6.0,,,
195,6.5,90,,
210,7.0,,,
225,7.5,,,
240,8.0,91,,
255,8.5,96,,
270,9.0,96,,
285,9.5,96,,
300,10.0,,,
315,10.5,,,
330,11.0,,,
345,11.5,,,
360,12.0,,,
375,12.5,,,
390,13.0,89,,
405,13.5,,,
420,14.0,,,
435,14.5,,,
450,15.0,,,
465,15.5,,,
480,16.0,,,
495,16.5,96,,
510,17.0,96,,
525,17.5,91,,
540,18.0,91,,
555,18.5,49,,
570,19.0,47,,
585,19.5,,,
600,20.0,,,
615,20.5,,,
630,21.0,,,
645,21.5,,,
660,22.0,,,
675,22.5,,,
690,23.0,95,,
705,23.5,,,
720,24.0,96,,
735,24.5,96,,
750,25.0,96,,
765,25.5,96,,
780,26.0,96,,
795,26.5,96,,
810,27.0,96,,
825,27.5,96,,
840,28.0,96,,
855,28.5,20,,
