frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,,,
15,0.5,,,
30,1.0,,,
45,1.5,12,,
60,2.0,14,,
75,2.5,79,,
90,3.0,96,,
105,3.5,89,,
120,4.0,89,,
135,4.5,89,,
150,5.0,45,,
165,5.5,,,
180,6.0,,,
195,6.5,87,,
210,7.0,38,,
225,7.5,,,
240,8.0,,,
255,8.5,63,,
270,9.0,,,
285,9.5,,,
300,10.0,52,,
315,10.5,,,
330,11.0,,,
345,11.5,,,
360,12.0,,,
375,12.5,,,
390,13.0,,,
405,13.5,,,
420,14.0,64,,
435,14.5,,,
450,15.0,,,
465,15.5,,,
480,16.0,,,
495,16.5,91,,
510,17.0,,,
525,17.5,94,,
540,18.0,,,
555,18.5,91,,
570,19.0,96,,
585,19.5,96,,
600,20.0,96,,
615,20.5,,,
630,21.0,86,,
645,21.5,96,,
