frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,33.9,748,763,
15,0.5,33.4,746,760,
30,1.0,32.3,677,692,
45,1.5,34.2,787,800,
60,2.0,38.5,746,765,
75,2.5,43.4,751,764,
90,3.0,45.9,750,765,
105,3.5,39.4,820,832,
120,4.0,35.6,721,727,
135,4.5,27.6,820,835,
150,5.0,15.8,799,817,
165,5.5,15.5,845,853,
180,6.0,16.1,766,777,
195,6.5,16.6,700,711,
210,7.0,23.7,696,708,
225,7.5,33.1,727,747,
240,8.0,46.3,591,605,
255,8.5,63.7,442,462,
270,9.0,72.4,392,408,
285,9.5,74.4,394,411,
300,10.0,77.7,198,215,
315,10.5,83.6,110,131,
330,11.0,83.5,162,179,
345,11.5,73.9,158,170,
360,12.0,62.8,231,254,
375,12.5,54.9,310,323,
390,13.0,55.5,282,307,
405,13.5,57.1,372,398,
420,14.0,53.0,445,471,
435,14.5,48.8,492,511,
450,15.0,47.9,451,466,
