frame,time_s,camera_x_pct,confidence,notes
0,0.0,69.4,0.9772,
10,0.3,90.4,0.9637,
20,0.7,90.5,0.9689,
30,1.0,90.4,0.9688,
40,1.3,90.5,0.9595,
50,1.7,83.2,0.9576,
60,2.0,90.5,0.9603,
70,2.3,89.4,0.9534,
80,2.7,90.5,0.9626,
90,3.0,84.8,0.9494,
100,3.3,90.5,0.9414,
110,3.7,90.5,0.954,
120,4.0,90.5,0.9565,
130,4.3,90.5,0.955,
140,4.7,90.2,0.9492,
150,5.0,90.5,0.9568,
160,5.3,88.5,0.9546,
170,5.7,90.5,0.947,
180,6.0,89.9,0.9517,
190,6.3,83.7,0.9497,
200,6.7,86.8,0.9417,
210,7.0,86.5,0.9347,
220,7.3,86.0,0.9413,
230,7.7,86.2,0.9418,
240,8.0,84.5,0.944,
250,8.3,84.8,0.9555,
260,8.7,84.5,0.9527,
270,9.0,75.7,0.9478,
280,9.3,64.3,0.9548,
290,9.7,61.2,0.9464,
300,10.0,54.7,0.9431,
310,10.3,58.2,0.9459,
320,10.7,57.1,0.9423,
330,11.0,56.8,0.9409,
340,11.3,55.8,0.9461,
