frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,84.2,289,310,
15,0.5,84.2,282,296,
30,1.0,84.2,289,300,
45,1.5,84.2,314,326,
60,2.0,84.2,296,320,
75,2.5,84.2,307,326,
90,3.0,84.2,273,292,
105,3.5,84.1,279,305,
120,4.0,84.2,331,351,
135,4.5,84.1,311,323,
150,5.0,84.1,281,299,
165,5.5,84.2,321,341,
180,6.0,84.2,277,302,
195,6.5,81.5,314,343,
210,7.0,70.0,321,349,
225,7.5,54.2,522,539,
240,8.0,42.3,601,625,
255,8.5,40.6,602,619,
270,9.0,43.9,565,580,
285,9.5,47.3,485,511,
300,10.0,56.3,344,377,
315,10.5,75.1,374,399,
330,11.0,83.0,253,275,
345,11.5,84.2,248,273,
360,12.0,84.5,251,277,
375,12.5,84.3,214,235,
390,13.0,84.8,109,134,
405,13.5,84.6,84,104,
420,14.0,83.2,100,121,
