frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,50.2,228,232,
15,0.5,50.1,231,244,
30,1.0,47.5,248,259,
45,1.5,35.0,234,245,
60,2.0,21.1,65,70,
75,2.5,26.0,179,187,
90,3.0,49.9,434,447,
105,3.5,55.8,667,680,
120,4.0,61.3,703,713,
135,4.5,65.5,781,793,
150,5.0,68.0,817,844,
165,5.5,59.7,804,815,
180,6.0,40.4,727,739,
195,6.5,27.7,659,670,
210,7.0,25.6,590,606,
225,7.5,24.0,540,550,
240,8.0,23.4,551,565,
255,8.5,28.2,675,692,
270,9.0,38.0,749,760,
285,9.5,40.0,731,744,
300,10.0,40.1,719,730,
315,10.5,42.1,745,757,
330,11.0,48.0,577,588,
345,11.5,50.2,639,656,
360,12.0,47.5,654,674,
375,12.5,45.4,753,766,
390,13.0,45.8,753,770,
405,13.5,48.5,754,768,
420,14.0,53.5,598,614,
435,14.5,61.9,500,521,
450,15.0,68.7,448,464,
465,15.5,72.5,387,395,
480,16.0,71.8,273,288,
495,16.5,69.2,227,238,
510,17.0,65.1,316,343,
525,17.5,61.3,311,333,
540,18.0,59.8,348,371,
