frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,20.0,276,291,
15,0.5,15.1,233,245,
30,1.0,15.5,231,240,
45,1.5,15.8,263,284,
60,2.0,17.3,258,265,
75,2.5,33.3,546,557,
90,3.0,60.5,650,667,
105,3.5,71.6,542,551,
120,4.0,69.7,641,651,
135,4.5,60.7,673,690,
150,5.0,49.0,649,665,
165,5.5,31.3,656,667,
180,6.0,19.7,705,720,
195,6.5,16.1,720,748,
210,7.0,17.8,773,787,
225,7.5,21.6,771,793,
240,8.0,28.3,771,782,
255,8.5,40.5,668,680,
270,9.0,47.1,664,671,
285,9.5,49.6,693,704,
300,10.0,44.3,712,727,
315,10.5,43.7,635,661,
330,11.0,48.1,700,719,
345,11.5,59.3,562,581,
360,12.0,68.7,401,422,
375,12.5,75.6,256,282,
390,13.0,80.6,213,230,
405,13.5,77.9,218,233,
420,14.0,71.4,259,279,
435,14.5,64.3,295,325,
450,15.0,57.7,359,380,
465,15.5,50.5,386,406,
480,16.0,45.6,356,380,
495,16.5,42.1,397,407,
510,17.0,42.0,521,530,
525,17.5,43.8,534,550,
