frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,69.8,462,473,
15,0.5,58.3,509,527,
30,1.0,54.9,565,577,
45,1.5,54.5,533,546,
60,2.0,53.6,489,507,
75,2.5,56.5,436,456,
90,3.0,59.9,368,380,
105,3.5,61.8,343,357,
120,4.0,62.8,254,271,
135,4.5,63.5,175,188,
150,5.0,62.0,153,166,
165,5.5,57.5,280,295,
180,6.0,51.2,421,437,
195,6.5,48.9,442,449,
210,7.0,47.3,456,468,
225,7.5,45.8,562,574,
240,8.0,47.5,556,579,
255,8.5,47.7,516,529,
270,9.0,46.5,590,604,
285,9.5,33.2,746,755,
300,10.0,19.9,590,605,
315,10.5,25.5,590,613,
330,11.0,39.3,674,682,
345,11.5,51.6,679,690,
360,12.0,58.9,710,725,
375,12.5,62.1,696,708,
390,13.0,62.8,707,721,
405,13.5,64.1,718,730,
420,14.0,65.9,742,763,
435,14.5,71.4,693,713,
450,15.0,72.9,635,659,
465,15.5,69.0,665,683,
480,16.0,64.3,704,713,
495,16.5,58.4,700,718,
510,17.0,59.5,724,738,
525,17.5,62.1,834,845,
540,18.0,57.8,809,828,
555,18.5,48.7,621,638,
570,19.0,54.1,821,842,
585,19.5,66.2,798,816,
600,20.0,72.4,835,847,
615,20.5,75.4,793,800,
630,21.0,78.1,809,825,
645,21.5,80.4,819,834,
660,22.0,81.9,776,790,
675,22.5,81.7,538,556,
690,23.0,80.2,578,597,
705,23.5,79.4,593,606,
720,24.0,73.7,512,527,
735,24.5,66.5,402,435,
750,25.0,61.6,312,334,
765,25.5,57.5,177,196,
780,26.0,57.6,230,245,
795,26.5,57.8,289,307,
810,27.0,56.4,232,255,
825,27.5,51.9,252,266,
840,28.0,48.3,210,253,
855,28.5,45.7,176,209,
870,29.0,39.9,198,238,
885,29.5,28.5,461,481,
900,30.0,30.1,414,434,
915,30.5,34.8,386,410,
930,31.0,52.1,301,314,
945,31.5,66.8,366,399,
960,32.0,74.0,308,321,
975,32.5,79.9,283,324,
990,33.0,83.6,257,278,
