frame,time_s,camera_x_pct,confidence,notes
0,0.0,25.5,0.9696,
10,0.3,26.2,0.969,
20,0.7,26.0,0.9695,
30,1.0,25.1,0.9708,
40,1.3,24.8,0.9703,
50,1.7,25.3,0.9703,
60,2.0,25.9,0.97,
70,2.3,27.1,0.9669,
80,2.7,29.1,0.9657,
90,3.0,53.9,0.9569,
100,3.3,54.0,0.955,
110,3.7,53.8,0.9551,
120,4.0,57.6,0.9537,
130,4.3,53.6,0.952,
140,4.7,56.4,0.9505,
150,5.0,56.1,0.9412,
160,5.3,54.0,0.9406,
170,5.7,12.4,0.9406,
180,6.0,12.6,0.9438,
190,6.3,12.0,0.944,
200,6.7,54.1,0.9422,
210,7.0,30.4,0.955,
220,7.3,58.3,0.9565,
230,7.7,34.4,0.9567,
240,8.0,36.0,0.9568,
250,8.3,42.0,0.954,
260,8.7,54.4,0.967,
270,9.0,56.5,0.9637,
280,9.3,55.8,0.9506,
290,9.7,15.7,0.9512,
300,10.0,13.4,0.956,
310,10.3,9.5,0.9524,
320,10.7,81.9,0.9453,
330,11.0,76.5,0.9482,
340,11.3,73.6,0.9425,
350,11.7,70.9,0.9476,
360,12.0,73.5,0.9524,
370,12.3,10.1,0.9508,
380,12.7,15.3,0.9437,
390,13.0,12.1,0.9471,
400,13.3,17.0,0.9416,
410,13.7,17.8,0.9473,
420,14.0,19.0,0.9425,
430,14.3,19.4,0.9451,
440,14.7,35.4,0.949,
450,15.0,40.2,0.9506,
460,15.3,24.2,0.9586,
470,15.7,27.6,0.958,
480,16.0,45.8,0.9542,
490,16.3,41.1,0.9567,
500,16.7,33.2,0.9577,
510,17.0,68.7,0.9553,
520,17.3,68.3,0.9572,
530,17.7,39.4,0.9626,
540,18.0,42.6,0.9547,
550,18.3,71.5,0.9559,
560,18.7,44.4,0.9594,
570,19.0,45.8,0.9604,
580,19.3,70.1,0.9583,
590,19.7,72.2,0.9563,
600,20.0,72.7,0.957,
610,20.3,76.6,0.9566,
620,20.7,50.1,0.9658,
630,21.0,58.5,0.9591,
640,21.3,67.3,0.9532,
650,21.7,74.6,0.9551,
660,22.0,79.8,0.9525,
670,22.3,81.8,0.9479,
680,22.7,82.5,0.9602,
690,23.0,58.6,0.9646,
700,23.3,58.5,0.9561,
710,23.7,65.1,0.9669,
720,24.0,62.4,0.9635,
730,24.3,60.3,0.9586,
740,24.7,56.7,0.9636,
750,25.0,57.0,0.9553,
760,25.3,54.7,0.9646,
