frame,time_s,camera_x_pct,confidence,notes
0,0.0,90.5,0.9586,
10,0.3,90.5,0.958,
20,0.7,90.2,0.9579,
30,1.0,90.5,0.9588,
40,1.3,90.2,0.9625,
50,1.7,90.5,0.9654,
60,2.0,89.0,0.9593,
70,2.3,84.1,0.9605,
80,2.7,85.4,0.9549,
90,3.0,88.9,0.9488,
100,3.3,85.5,0.9544,
110,3.7,58.0,0.9566,
120,4.0,56.1,0.9545,
130,4.3,80.9,0.9588,
140,4.7,78.2,0.9615,
150,5.0,73.8,0.9576,
160,5.3,74.7,0.9597,
170,5.7,52.7,0.95,
180,6.0,39.6,0.946,
190,6.3,80.2,0.9426,
200,6.7,41.5,0.9421,
210,7.0,40.6,0.9361,
220,7.3,38.9,0.9547,
230,7.7,44.0,0.9542,
240,8.0,49.0,0.9565,
250,8.3,52.1,0.9595,
260,8.7,50.7,0.9567,
270,9.0,51.8,0.9546,
280,9.3,78.4,0.9455,
290,9.7,47.0,0.9447,
300,10.0,47.1,0.9415,
310,10.3,46.0,0.9461,
320,10.7,46.8,0.9488,
330,11.0,48.2,0.955,
340,11.3,54.1,0.9617,
350,11.7,58.6,0.9606,
360,12.0,60.7,0.9558,
370,12.3,62.3,0.9496,
380,12.7,67.3,0.9443,
390,13.0,83.8,0.9431,
400,13.3,82.2,0.9396,
410,13.7,81.8,0.9354,
420,14.0,88.8,0.9366,
430,14.3,76.9,0.9349,
440,14.7,75.3,0.9362,
450,15.0,76.6,0.9346,
460,15.3,77.6,0.9342,
470,15.7,78.4,0.9332,
480,16.0,47.3,0.935,
490,16.3,61.8,0.939,
500,16.7,53.3,0.9438,
510,17.0,85.4,0.9409,
520,17.3,85.7,0.9412,
530,17.7,76.2,0.9509,
540,18.0,75.0,0.9515,
550,18.3,84.9,0.9534,
560,18.7,75.2,0.9554,
570,19.0,75.5,0.9535,
580,19.3,81.2,0.9545,
590,19.7,68.6,0.9566,
600,20.0,64.9,0.9545,
610,20.3,71.9,0.9545,
620,20.7,71.3,0.9569,
630,21.0,70.4,0.9549,
640,21.3,69.9,0.9547,
650,21.7,64.0,0.9555,
660,22.0,58.4,0.9545,
670,22.3,55.1,0.9522,
680,22.7,52.6,0.9513,
690,23.0,45.7,0.9466,
700,23.3,45.4,0.945,
710,23.7,74.7,0.9446,
720,24.0,45.9,0.9422,
730,24.3,49.0,0.9467,
740,24.7,45.4,0.9532,
750,25.0,74.3,0.9523,
760,25.3,54.0,0.9605,
770,25.7,54.5,0.9657,
780,26.0,79.2,0.9524,
790,26.3,80.2,0.9484,
800,26.7,79.2,0.9467,
