frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,,,
15,0.5,,,
30,1.0,,,
45,1.5,,,
60,2.0,,,
75,2.5,88,,
90,3.0,17,,
105,3.5,,,
120,4.0,,,
135,4.5,,,
150,5.0,,,
165,5.5,,,
180,6.0,,,
195,6.5,,,
210,7.0,,,
225,7.5,,,
240,8.0,,,
255,8.5,,,
270,9.0,64,,
285,9.5,,,
300,10.0,75,,
315,10.5,77,,
330,11.0,,,
345,11.5,62,,
360,12.0,,,
375,12.5,62,,
390,13.0,67,,
405,13.5,66,,
420,14.0,,,
435,14.5,,,
450,15.0,,,
465,15.5,,,
480,16.0,,,
495,16.5,72,,
510,17.0,41,,
525,17.5,,,
540,18.0,,,
555,18.5,,,
570,19.0,80,,
585,19.5,95,,
600,20.0,96,,
615,20.5,96,,
630,21.0,96,,
645,21.5,96,,
660,22.0,,,
675,22.5,,,
690,23.0,,,
705,23.5,,,
720,24.0,,,
735,24.5,91,,
