frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,49,56,
15,0.5,49,55,
30,1.0,45,51,
45,1.5,46,46,
60,2.0,34,34,
75,2.5,49,50,
90,3.0,32,32,
105,3.5,54,53,
120,4.0,35,36,
135,4.5,30,30,
150,5.0,32,32,
165,5.5,37,37,
180,6.0,20,20,
195,6.5,53,52,
210,7.0,57,57,
225,7.5,54,53,
240,8.0,53,53,
255,8.5,47,47,
270,9.0,66,47,
285,9.5,80,79,
300,10.0,60,60,
315,10.5,37,66,
330,11.0,31,74,
345,11.5,32,66,
360,12.0,47,55,
375,12.5,57,52,
390,13.0,42,41,
405,13.5,29,37,
420,14.0,27,28,
435,14.5,28,25,
450,15.0,23,23,
465,15.5,30,30,
480,16.0,27,29,
495,16.5,30,30,
510,17.0,9,17,
525,17.5,20,44,
540,18.0,33,55,
