frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,7,17,
15,0.5,6,17,
30,1.0,8,17,
45,1.5,16,17,
60,2.0,17,18,
75,2.5,18,19,
90,3.0,19,20,
105,3.5,44,37,
120,4.0,53,60,
135,4.5,24,46,
150,5.0,41,23,
165,5.5,62,29,
180,6.0,68,50,
195,6.5,75,72,
210,7.0,85,83,
225,7.5,93,83,
240,8.0,91,83,
255,8.5,88,83,
270,9.0,82,83,
285,9.5,79,79,
300,10.0,77,75,
315,10.5,67,68,
330,11.0,61,62,
345,11.5,56,56,
360,12.0,50,48,
375,12.5,39,41,
390,13.0,38,38,
405,13.5,38,37,
420,14.0,35,35,
435,14.5,33,33,
450,15.0,29,29,
465,15.5,24,24,
480,16.0,20,20,
495,16.5,17,18,
