frame,time_s,camera_x_pct,inliers,total_good,notes
0,0.0,80.0,722,740,
15,0.5,80.0,680,698,
30,1.0,80.0,790,799,
45,1.5,80.0,807,823,
60,2.0,80.0,831,840,
75,2.5,80.0,746,765,
90,3.0,80.1,770,789,
105,3.5,82.9,689,702,
120,4.0,84.1,664,680,
135,4.5,75.5,768,789,
150,5.0,68.0,826,840,
165,5.5,64.7,708,721,
180,6.0,59.7,726,736,
195,6.5,59.2,800,812,
210,7.0,64.3,734,752,
225,7.5,70.1,663,676,
240,8.0,70.4,709,721,
255,8.5,69.3,701,717,
270,9.0,64.4,577,589,
285,9.5,67.3,501,515,
300,10.0,75.6,229,249,
315,10.5,83.6,121,136,
330,11.0,78.5,65,83,
345,11.5,70.1,160,183,
360,12.0,43.8,423,465,
375,12.5,26.5,569,636,
390,13.0,19.6,526,555,
405,13.5,15.7,607,660,
420,14.0,15.0,548,586,
435,14.5,17.9,563,597,
