frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,,,
15,0.5,90,,
30,1.0,90,,
45,1.5,89,,
60,2.0,89,,
75,2.5,89,,
90,3.0,60,,
105,3.5,,,
120,4.0,,,
135,4.5,,,
150,5.0,,,
165,5.5,,,
180,6.0,46,,
195,6.5,,,
210,7.0,,,
225,7.5,,,
240,8.0,,,
255,8.5,,,
270,9.0,,,
285,9.5,,,
300,10.0,,,
315,10.5,,,
330,11.0,94,,
345,11.5,23,,
360,12.0,18,,
375,12.5,3,,
390,13.0,92,,
405,13.5,26,,
420,14.0,30,,
435,14.5,93,,
450,15.0,95,,
465,15.5,90,,
480,16.0,89,,
495,16.5,96,,
510,17.0,90,,
525,17.5,90,,
540,18.0,93,,
555,18.5,95,,
570,19.0,90,,
585,19.5,81,,
600,20.0,91,,
615,20.5,89,,
630,21.0,92,,
645,21.5,,,
660,22.0,,,
675,22.5,,,
