frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,48,,
15,0.5,87,,
30,1.0,49,,
45,1.5,10,,
60,2.0,1,,
75,2.5,1,,
90,3.0,39,,
105,3.5,,,
120,4.0,,,
135,4.5,,,
150,5.0,,,
165,5.5,34,,
180,6.0,25,,
195,6.5,,,
210,7.0,,,
225,7.5,,,
240,8.0,,,
255,8.5,,,
270,9.0,,,
285,9.5,,,
300,10.0,,,
315,10.5,,,
330,11.0,,,
345,11.5,,,
360,12.0,,,
375,12.5,,,
390,13.0,92,,
405,13.5,95,,
420,14.0,96,,
435,14.5,96,,
450,15.0,96,,
465,15.5,96,,
480,16.0,96,,
495,16.5,96,,
510,17.0,96,,
525,17.5,96,,
540,18.0,96,,
555,18.5,92,,
