frame,time_s,ball_x_pct,camera_x_pct,notes
0,0.0,89,,
15,0.5,95,,
30,1.0,,,
45,1.5,,,
60,2.0,,,
75,2.5,56,,
90,3.0,46,,
105,3.5,42,,
120,4.0,95,,
135,4.5,96,,
150,5.0,96,,
165,5.5,,,
180,6.0,,,
195,6.5,,,
210,7.0,24,,
225,7.5,,,
240,8.0,,,
255,8.5,,,
270,9.0,,,
285,9.5,,,
300,10.0,,,
315,10.5,,,
330,11.0,,,
345,11.5,,,
360,12.0,,,
375,12.5,90,,
390,13.0,90,,
405,13.5,,,
420,14.0,,,
435,14.5,83,,
450,15.0,83,,
465,15.5,,,
480,16.0,,,
495,16.5,,,
510,17.0,,,
525,17.5,,,
540,18.0,55,,
555,18.5,,,
570,19.0,,,
585,19.5,,,
600,20.0,,,
615,20.5,92,,
