frame,ball_x,ball_y
0,1440.0,540.0
15,1440.0,540.0
30,1440.0,540.0
45,1248.0,540.0
60,1209.6,540.0
75,1152.0,540.0
90,1113.6,540.0
105,1056.0,540.0
120,672.0,540.0
135,672.0,540.0
150,633.6,540.0
165,672.0,540.0
180,921.6,540.0
195,864.0,540.0
210,864.0,540.0
225,960.0,540.0
240,1056.0,540.0
255,1152.0,540.0
270,1248.0,540.0
285,1248.0,540.0
300,1344.0,540.0
315,1344.0,540.0
330,1344.0,540.0
345,1344.0,540.0
360,1382.4,540.0
375,1344.0,540.0
390,1344.0,540.0
405,1305.6,540.0
420,1248.0,540.0
435,1152.0,540.0
450,1113.6,540.0
465,1344.0,540.0
480,1382.4,540.0
495,1536.0,540.0
510,1632.0,540.0
525,1824.0,540.0
