frame,ball_x,ball_y
0,96.0,540.0
15,0.0,540.0
30,0.0,540.0
45,0.0,540.0
60,96.0,540.0
75,288.0,540.0
90,576.0,540.0
105,518.4,540.0
120,480.0,540.0
135,441.6,540.0
150,480.0,540.0
165,672.0,540.0
180,864.0,540.0
195,940.8,540.0
210,1056.0,540.0
225,1536.0,540.0
240,1056.0,540.0
255,1152.0,540.0
270,1152.0,540.0
285,1056.0,540.0
300,902.4,540.0
315,1113.6,540.0
330,1632.0,540.0
345,1920.0,540.0
360,1920.0,540.0
375,1920.0,540.0
390,1920.0,540.0
405,1920.0,540.0
420,1824.0,540.0
435,1344.0,540.0
450,1056.0,540.0
465,979.2,540.0
480,940.8,540.0
495,902.4,540.0
510,864.0,540.0
525,864.0,540.0
540,192.0,540.0
555,96.0,540.0
570,96.0,540.0
585,96.0,540.0
600,96.0,540.0
615,96.0,540.0
630,96.0,540.0
645,288.0,540.0
660,672.0,540.0
675,768.0,540.0
690,864.0,540.0
705,940.8,540.0
720,960.0,540.0
735,1344.0,540.0
750,1344.0,540.0
765,1248.0,540.0
780,1056.0,540.0
795,864.0,540.0
810,672.0,540.0
825,960.0,540.0
840,672.0,540.0
855,672.0,540.0
