frame,ball_x,ball_y
0,1248.0,540.0
15,1152.0,540.0
30,960.0,540.0
45,864.0,540.0
60,825.6,540.0
75,672.0,540.0
90,576.0,540.0
105,672.0,540.0
120,672.0,540.0
135,864.0,540.0
150,902.4,540.0
165,864.0,540.0
180,864.0,540.0
195,384.0,540.0
210,288.0,540.0
225,384.0,540.0
240,480.0,540.0
255,480.0,540.0
270,576.0,540.0
285,672.0,540.0
300,864.0,540.0
315,960.0,540.0
330,1152.0,540.0
345,1344.0,540.0
360,1497.6,540.0
375,1536.0,540.0
390,1632.0,540.0
405,1632.0,540.0
420,1574.4,540.0
435,1536.0,540.0
450,1497.6,540.0
465,1440.0,540.0
480,1344.0,540.0
495,1344.0,540.0
510,1344.0,540.0
525,1401.6,540.0
540,1440.0,540.0
555,1497.6,540.0
570,1440.0,540.0
585,1344.0,540.0
600,1344.0,540.0
615,1248.0,540.0
630,864.0,540.0
645,576.0,540.0
660,480.0,540.0
675,537.6,540.0
