frame,ball_x,ball_y
0,960.0,540.0
15,960.0,540.0
30,960.0,540.0
45,960.0,540.0
60,864.0,540.0
75,864.0,540.0
90,864.0,540.0
105,672.0,540.0
120,768.0,540.0
135,672.0,540.0
150,633.6,540.0
165,672.0,540.0
180,672.0,540.0
195,768.0,540.0
210,864.0,540.0
225,940.8,540.0
240,921.6,540.0
255,921.6,540.0
270,921.6,540.0
285,921.6,540.0
300,1056.0,540.0
315,1152.0,540.0
330,1248.0,540.0
345,1305.6,540.0
360,1305.6,540.0
375,1344.0,540.0
390,1344.0,540.0
405,1152.0,540.0
420,768.0,540.0
435,729.6,540.0
450,864.0,540.0
465,864.0,540.0
