frame,ball_x,ball_y
0,1152.0,540.0
15,1248.0,540.0
30,1152.0,540.0
45,902.4,540.0
60,672.0,540.0
75,441.6,540.0
90,192.0,540.0
105,96.0,540.0
120,192.0,540.0
135,480.0,540.0
150,480.0,540.0
165,441.6,540.0
180,537.6,540.0
195,768.0,540.0
210,768.0,540.0
225,825.6,540.0
240,864.0,540.0
255,1017.6,540.0
270,1344.0,540.0
285,1440.0,540.0
300,1440.0,540.0
315,1440.0,540.0
330,1401.6,540.0
345,1113.6,540.0
360,1094.4,540.0
375,1152.0,540.0
390,1305.6,540.0
405,1305.6,540.0
420,1209.6,540.0
435,1209.6,540.0
450,1344.0,540.0
465,1401.6,540.0
480,1440.0,540.0
495,1440.0,540.0
510,1344.0,540.0
525,1152.0,540.0
540,1094.4,540.0
555,921.6,540.0
570,576.0,540.0
585,518.4,540.0
600,441.6,540.0
615,384.0,540.0
630,345.6,540.0
645,288.0,540.0
660,288.0,540.0
675,345.6,540.0
690,576.0,540.0
705,576.0,540.0
720,576.0,540.0
735,576.0,540.0
