frame,ball_x,ball_y
0,960.0,540.0
15,960.0,540.0
30,672.0,540.0
45,576.0,540.0
60,672.0,540.0
75,960.0,540.0
90,1017.6,540.0
105,1036.8,540.0
120,960.0,540.0
135,921.6,540.0
150,864.0,540.0
165,576.0,540.0
180,384.0,540.0
195,288.0,540.0
210,384.0,540.0
225,576.0,540.0
240,672.0,540.0
255,729.6,540.0
270,864.0,540.0
285,864.0,540.0
300,960.0,540.0
315,1017.6,540.0
330,902.4,540.0
345,940.8,540.0
360,1056.0,540.0
375,1152.0,540.0
390,1152.0,540.0
405,1113.6,540.0
420,960.0,540.0
435,1017.6,540.0
450,1152.0,540.0
465,1190.4,540.0
480,1190.4,540.0
495,1152.0,540.0
510,960.0,540.0
525,960.0,540.0
540,921.6,540.0
555,1056.0,540.0
570,1094.4,540.0
585,864.0,540.0
600,864.0,540.0
615,960.0,540.0
630,1056.0,540.0
645,1056.0,540.0
