frame,ball_x,ball_y
0,1344.0,540.0
15,1344.0,540.0
30,1344.0,540.0
45,1344.0,540.0
60,1344.0,540.0
75,1113.6,540.0
90,921.6,540.0
105,864.0,540.0
120,768.0,540.0
135,768.0,540.0
150,864.0,540.0
165,825.6,540.0
180,672.0,540.0
195,729.6,540.0
210,672.0,540.0
225,768.0,540.0
240,921.6,540.0
255,672.0,540.0
270,576.0,540.0
285,729.6,540.0
300,768.0,540.0
315,806.4,540.0
330,864.0,540.0
345,864.0,540.0
360,960.0,540.0
375,960.0,540.0
390,1017.6,540.0
405,1056.0,540.0
420,1152.0,540.0
435,1440.0,540.0
