frame,ball_x,ball_y
0,960.0,540.0
15,1056.0,540.0
30,1152.0,540.0
45,1113.6,540.0
60,1036.8,540.0
75,960.0,540.0
90,806.4,540.0
105,768.0,540.0
120,729.6,540.0
135,729.6,540.0
150,672.0,540.0
165,672.0,540.0
180,633.6,540.0
195,729.6,540.0
210,729.6,540.0
225,864.0,540.0
240,960.0,540.0
255,960.0,540.0
270,921.6,540.0
285,864.0,540.0
300,806.4,540.0
315,864.0,540.0
330,902.4,540.0
345,864.0,540.0
360,864.0,540.0
375,864.0,540.0
390,960.0,540.0
405,998.4,540.0
420,1094.4,540.0
435,1113.6,540.0
450,1152.0,540.0
465,1152.0,540.0
