frame,ball_x,ball_y
0,1094.4,540.0
15,1075.2,540.0
30,1036.8,540.0
45,921.6,540.0
60,864.0,540.0
75,960.0,540.0
90,1056.0,540.0
105,1152.0,540.0
120,1344.0,540.0
135,1478.4,540.0
150,1440.0,540.0
165,1344.0,540.0
180,1056.0,540.0
195,1056.0,540.0
210,1056.0,540.0
225,1152.0,540.0
240,1440.0,540.0
255,1497.6,540.0
270,1401.6,540.0
285,1344.0,540.0
300,1113.6,540.0
315,960.0,540.0
330,998.4,540.0
345,1017.6,540.0
360,998.4,540.0
375,960.0,540.0
390,960.0,540.0
405,998.4,540.0
420,998.4,540.0
435,1017.6,540.0
450,576.0,540.0
465,480.0,540.0
480,441.6,540.0
495,384.0,540.0
510,345.6,540.0
525,384.0,540.0
