"Hash","RelativePath","FullPath","SizeBytes","Reason"
"1038925E5DE5C71AF18E43E541378093C39DB6921A1A18A84F3185DDC0732738","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t25260.00-t26460.00.mp4","34780476","R21:deterministic-collapse:keep-a"
"1038925E5DE5C71AF18E43E541378093C39DB6921A1A18A84F3185DDC0732738","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\003__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t421.00-t441.00_portrait_POST.mp4","34780476","R21:deterministic-collapse:keep-a"
"E175A3F61A09A0C210A245AE082D796973DC856AA089C7F58B2D5D5FB7571ADD","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t26640.00-t27360.00.mp4","22934519","R21:deterministic-collapse:keep-a"
"E175A3F61A09A0C210A245AE082D796973DC856AA089C7F58B2D5D5FB7571ADD","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\004__2025-09-20__TSC_vs_Greenwood__PRESSURE_TWO_SHOTS__t444.00-t456.00_portrait_POST.mp4","22934519","R21:deterministic-collapse:keep-a"
"185925319A3E971129E25D2149E8F7F5512BE86003A1EB9D985F84D9DC0590A8","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t32280.00-t33180.00.mp4","23051882","R21:deterministic-collapse:keep-a"
"185925319A3E971129E25D2149E8F7F5512BE86003A1EB9D985F84D9DC0590A8","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\005__2025-09-20__TSC_vs_Greenwood__WIN_FREE_KICK__t538.00-t553.00_portrait_POST.mp4","23051882","R21:deterministic-collapse:keep-a"
"0E51501AE97C44D3382D8710F8F770E730D70F2759503F64F35ABAA68DB047C5","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t41100.00-t42480.00.mp4","34500795","R21:deterministic-collapse:keep-a"
"0E51501AE97C44D3382D8710F8F770E730D70F2759503F64F35ABAA68DB047C5","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\006__2025-09-20__TSC_vs_Greenwood__BUILD_UP_PLAY_SHOT__t685.00-t708.00_portrait_POST.mp4","34500795","R21:deterministic-collapse:keep-a"
"C7A7E53324EA7A662C86F475754E0750411C46AFA111BE92DA2194B8A47A4CD4","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t44340.00-t45120.00.mp4","23485482","R21:deterministic-collapse:keep-a"
"C7A7E53324EA7A662C86F475754E0750411C46AFA111BE92DA2194B8A47A4CD4","out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00_portrait_POST.mp4","C:\Users\scott\soccer-video\out\atomic_clips\2025-09-20__TSC_vs_Greenwood\007__2025-09-20__TSC_vs_Greenwood__DRIBBLING_SHOT__t739.00-t752.00_portrait_POST.mp4","23485482","R21:deterministic-collapse:keep-a"
