"index","date","status","atomic","master"
"111","2025-09-20","HAVE",,
"120","2025-09-20","HAVE",,
"213","2025-09-20","HAVE",,
"2","2025-10-04","HAVE",,
"209","2025-09-20","HAVE",,
"201","2025-09-20","HAVE",,
"40","2025-09-20","HAVE",,
"220","2025-09-20","HAVE",,
"103","2025-09-20","HAVE",,
"212","2025-09-20","HAVE",,
"106","2025-09-20","HAVE",,
"117","2025-10-07","HAVE",,
"192","2025-09-20","HAVE",,
"10","2025-10-04","HAVE",,
"68","2025-09-20","HAVE",,
"162","2025-09-20","HAVE",,
"190","2025-09-20","HAVE",,
"141","2025-09-20","HAVE",,
"87","2025-09-20","HAVE",,
"119","2025-10-07","HAVE",,
"165","2025-09-20","HAVE",,
"180","2025-10-07","HAVE",,
"142","2025-09-20","HAVE",,
"64","2025-09-20","HAVE",,
"126","2025-09-20","HAVE",,
"46","2025-09-20","HAVE",,
"41","2025-09-20","HAVE",,
"75","2025-09-13","HAVE",,
"16","2025-09-13","HAVE",,
"83","2025-09-20","HAVE",,
"163","2025-10-04","HAVE",,
"96","2025-09-20","HAVE",,
"3","2025-09-13","HAVE",,
"53","2025-09-20","HAVE",,
"175","2025-09-20","HAVE",,
"14","2025-10-04","HAVE",,
"172","2025-09-20","HAVE",,
"129","2025-09-20","HAVE",,
"95","2025-09-20","HAVE",,
"6","2025-10-04","HAVE",,
"38","2025-09-20","HAVE",,
"205","2025-09-20","HAVE",,
"115","2025-09-13","MISSING",".\out\atomic_clips\2025-09-13__TSC_vs_NEOFC\115__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\115__2025-09-13__TSC_vs_NEOFC__SHOT__t155.50-t166.40_portrait_FINAL\follow\stabilized.mp4"
"47","2025-09-20","HAVE",,
"77","2025-09-20","HAVE",,
"116","2025-10-04","MISSING",".\out\atomic_clips\2025-10-04__TSC_vs_FC_Tulsa_Black\116__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387-t412.mp4","C:\Users\scott\soccer-video\out\autoframe_work\cinematic\116__2025-10-04__TSC_vs_FC_Tulsa_Black__DRIBBLING__t387.00-t412.00_portrait_FINAL\follow\stabilized.mp4"
"210","2025-09-20","HAVE",,
"181","2025-09-20","HAVE",,
"146","2025-09-20","HAVE",,
"221","2025-09-20","HAVE",,
"31","2025-09-20","HAVE",,
"164","2025-10-07","HAVE",,
"152","2025-10-07","HAVE",,
"150","2025-09-20","HAVE",,
"7","2025-10-04","HAVE",,
"92","2025-09-20","HAVE",,
"104","2025-09-20","HAVE",,
"217","2025-09-20","HAVE",,
"216","2025-09-20","HAVE",,
"147","2025-10-04","HAVE",,
"207","2025-09-20","HAVE",,
"99","2025-09-20","HAVE",,
"206","2025-09-20","HAVE",,
"125","2025-10-07","HAVE",,
"189","2025-09-13","HAVE",,
"33","2025-09-13","HAVE",,
"114","2025-09-20","HAVE",,
"52","2025-09-20","HAVE",,
"102","2025-09-20","HAVE",,
"8","2025-10-04","HAVE",,
"28","2025-09-20","HAVE",,
"35","2025-09-20","HAVE",,
"54","2025-09-13","HAVE",,
"65","2025-09-20","HAVE",,
"100","2025-09-20","HAVE",,
"5","2025-09-13","HAVE",,
"48","2025-09-13","HAVE",,
"136","2025-10-07","HAVE",,
"218","2025-09-20","HAVE",,
"39","2025-09-13","HAVE",,
"202","2025-09-20","HAVE",,
"118","2025-10-04","HAVE",,
"159","2025-10-04","HAVE",,
"149","2025-09-20","HAVE",,
"81","2025-09-20","HAVE",,
"58","2025-09-20","HAVE",,
"57","2025-09-13","HAVE",,
"56","2025-09-20","HAVE",,
"98","2025-09-20","HAVE",,
"137","2025-09-20","HAVE",,
"109","2025-09-20","HAVE",,
"93","2025-09-20","HAVE",,
"97","2025-09-20","HAVE",,
"23","2025-09-20","HAVE",,
"133","2025-09-20","HAVE",,
"88","2025-09-20","HAVE",,
"196","2025-09-20","HAVE",,
"34","2025-09-20","HAVE",,
"80","2025-09-20","HAVE",,
"6","2025-09-13","HAVE",,
"178","2025-09-20","HAVE",,
"123","2025-09-20","HAVE",,
"15","2025-10-04","HAVE",,
"78","2025-09-20","HAVE",,
"108","2025-09-20","HAVE",,
"130","2025-09-20","HAVE",,
"51","2025-09-13","HAVE",,
"76","2025-09-20","HAVE",,
"12","2025-10-04","HAVE",,
"25","2025-09-20","HAVE",,
"45","2025-09-13","HAVE",,
"44","2025-09-20","HAVE",,
"160","2025-10-07","HAVE",,
"121","2025-10-04","HAVE",,
"186","2025-09-20","HAVE",,
"3","2025-10-04","HAVE",,
"50","2025-09-20","HAVE",,
"24","2025-09-13","HAVE",,
"177","2025-10-07","HAVE",,
"29","2025-09-20","HAVE",,
"17","2025-09-13","HAVE",,
"214","2025-09-20","HAVE",,
"199","2025-09-20","HAVE",,
"200","2025-09-20","HAVE",,
"227","2025-09-20","HAVE",,
"107","2025-09-20","HAVE",,
"2","2025-09-13","HAVE",,
"154","2025-09-20","HAVE",,
"127","2025-10-04","HAVE",,
"224","2025-09-20","HAVE",,
"27","2025-09-13","HAVE",,
"61","2025-09-20","HAVE",,
"169","2025-09-20","HAVE",,
"197","2025-09-20","HAVE",,
"132","2025-10-07","HAVE",,
"215","2025-09-20","HAVE",,
"195","2025-09-20","HAVE",,
"101","2025-09-20","HAVE",,
"179","2025-09-20","HAVE",,
"170","2025-09-20","HAVE",,
"139","2025-10-04","HAVE",,
"113","2025-09-20","HAVE",,
"219","2025-09-20","HAVE",,
"187","2025-09-20","HAVE",,
"134","2025-09-20","HAVE",,
"71","2025-09-20","HAVE",,
"155","2025-10-04","HAVE",,
"171","2025-10-07","HAVE",,
"18","2025-09-13","HAVE",,
"198","2025-09-20","HAVE",,
"32","2025-09-20","HAVE",,
"143","2025-10-04","HAVE",,
"110","2025-09-20","HAVE",,
"69","2025-09-13","HAVE",,
"124","2025-10-04","HAVE",,
