"index","label","t0_adj","t1_adj","speed","gain_db","variant","profile","crop_w","crop_h","crop_x","crop_y","focus_x","focus_y","zoom","out_name","caption"
"1","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"2","SHOT","0","0","1","0","","","0","0","0","0","0","0","1","",""
"3","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"4","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"5","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"6","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"7","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"8","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"9","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"10","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"11","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"12","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"13","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
"14","GOAL","0","0","1","0","","","0","0","0","0","0","0","1","",""
